Note: there are more sheets in this document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Each session is found on its own sheet below. There is a session for each time you have renewed these questions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Voter,Location- Which campus are you located?:,First Impressions- What did you think when you first saw the furniture?:,First Impressions- What piece of furniture caught your eye first?: 1,First Impressions- What piece of furniture caught your eye first?: 2,First Impressions- What piece of furniture caught your eye first?: 3,First Impressions- What piece of furniture caught your eye first?: 4,First Impressions- What piece of furniture caught your eye first?: 5,First Impressions- What piece of furniture caught your eye first?: 6,First Impressions- What piece of furniture caught your eye first?: 7,First Impressions- What piece of furniture caught your eye first?: 8,First Impressions- What piece of furniture caught your eye first?: 9,First Impressions- What piece of furniture caught your eye first?: 10,First Impressions- What piece of furniture caught your eye first?: 11,Comfort- Have you tested all 4 chairs?:,Comfort- Which is your favorite chair?:,Comfort- Why is it your favorite chair?: 1,Comfort- Why is it your favorite chair?: 2,Comfort- Why is it your favorite chair?: 3,Comfort- Why is it your favorite chair?: 4,Comfort- How comfortable is your favorite chair?:,Comfort- How long can you comfortably sit in your favorite chair?:,Functionality- Have you tested all 4 tables?:,Functionality- Which is your favorite desk?:,Functionality- Why is it your favorite desk?: 1,Functionality- Why is it your favorite desk?: 2,Functionality- Why is it your favorite desk?: 3,Functionality- Why is it your favorite desk?: 4,Functionality- Which desk gives you enough space to work? (select all that apply): 1,Functionality- Which desk gives you enough space to work? (select all that apply): 2,Functionality- Which desk gives you enough space to work? (select all that apply): 3,Functionality- Which desk gives you enough space to work? (select all that apply): 4,Functionality- Which desk gives you enough space to work? (select all that apply): 5,Functionality- How often are you rearranging the desks during class?:,Functionality- Which desk is easiest to move or adjust? (select all that apply): 1,Functionality- Which desk is easiest to move or adjust? (select all that apply): 2,Functionality- Which desk is easiest to move or adjust? (select all that apply): 3,Functionality- Which desk is easiest to move or adjust? (select all that apply): 4,Functionality- What are your complaints about the desks?: 1,Functionality- What are your complaints about the desks?: 2,Functionality- What are your complaints about the desks?: 3,Functionality- What are your complaints about the desks?: 4,Functionality- What are your complaints about the desks?: 5,Functionality- What are your complaints about the desks?: 6,Functionality- What are your complaints about the desks?: 7,Functionality- What are your complaints about the desks?: 8,Style- Is the most comfortable chair also your favorite chair design?:,Style- If you could redesign anything about the design of the chair what would it be?: 1,Style- If you could redesign anything about the design of the chair what would it be?: 2,Style- If you could redesign anything about the design of the chair what would it be?: 3,Style- If you could redesign anything about the design of the chair what would it be?: 4,Style- Is your favorite desk also your favorite desk design?:,"Style- If you could redesign anything about your favorite desk, what would it be?: 1","Style- If you could redesign anything about your favorite desk, what would it be?: 2",Overall Experience- How does the furniture affect the function of the classroom? :,Overall Experience- What is your overall feeling about the new classroom furniture?: 1,Overall Experience- What is your overall feeling about the new classroom furniture?: 2,Overall Experience- What is your overall feeling about the new classroom furniture?: 3,Overall Experience- Is there anything you miss about your old classroom?: 1,Overall Experience- Is there anything you miss about your old classroom?: 2,Overall Experience- Is there anything you miss about your old classroom?: 3,Overall Experience- Is there anything you miss about your old classroom?: 4,Overall Experience- Any other thoughts or suggesstions?: 1,Overall Experience- Any other thoughts or suggesstions?: 2
2025-12-17,84,Midland Freshman High School,"Wow, I love it!","The tables with weals and a cool pattern were something I first noted because they are taller than the tables I am used to, and the chairs with a net for a back looked like a very comfortable chair","Once I came in, the furniture that cot my eye was the tall tables with wheels and a pattern on them, and the chairs with a net for a back looked very cozy",,,,,,,,,,Yes,Chair 3,It has a back net that makes it look cool and very comfortable.,,,,Very comfortable,Entire class,No,Desk 3,"It has weals, and it has a cool pattern",,,,Desk 3,Desk 3,,,,Weekly,Desk 3,Desk 3,,,"I wish that ther were still desks that could open ther hood, it wad give us more space to put stuff and work.",,,,,,,,Yes. it's awesome,"Put wheels on the chairs and make it be able to turn all the way around, but other than that, the chair is pretty good.",,,,Yes. it's awesome,make the desks look like ther is led drawn on it in a cool design because kids draw on desks with pencils and make them look messy.,,It's a nice upgrade,"I like the new look to it, it also makes the room look nicer and more professional",,,"No, not at all.",,,,I do not have any more thoughts or suggestions.,
2025-12-17,85,Midland Freshman High School,It looks interesting,I liked the smaller ones better.,the little ones,,,,,,,,,,Yes,Chair 4,the dark gray one,,,,Somewhat comfortable,Entire class,Yes,Desk 3,the little one,,,,Desk 3,,,,,Periodically (as needed),Desk 1,Desk 3,,,They move a lot and are a little high up.,,,,,,,,It's fine,nothing,,,,It's fine,nothing,,No big difference,It could be better.,,,no,,,,no,
2025-12-17,86,Midland Freshman High School,It looks interesting,I like the rolly desk I feel like it makes it easier to move them and I like the mesh type chairs they are really comfortable and I also like the chairs with the hook on the back.,,,,,,,,,,,Yes,Chair 3,the mesh chair,it is more  comfortable,I feel like it has better support,,Very comfortable,Entire class,Yes,Desk 3,it is easier to move it around and it takes up less space,,,,Desk 3,,,,,Periodically (as needed),Desk 3,,,,some of them don't have enough room for working on it,,,,,,,,Yes. it's awesome,maybe better support on the back especially when sitting for a long period of time,,,,Yes. it's awesome,nothing,,It's a nice upgrade,it is good,,,no,,,,nope,
2025-12-17,87,Lee High School,It looks interesting,Furniture?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,88,Midland Freshman High School,It looks interesting,the biggest ones because they had the most room,,,,,,,,,,,No,Chair 4,because it is lighter in easy to move around,,,,Somewhat comfortable,Entire class,No,Desk 1,because they are big but not to big and nothing sticks out like the other ones,,,,All of them,,,,,Periodically (as needed),Desk 1,,,,some of them are to bolky,,,,,,,,Yes. it's awesome,there is nothing I would do,,,,It's fine,there is nothing I would do,,No big difference,I like some of them,,,no,,,,no,
2025-12-17,89,Midland Freshman High School,It looks interesting,"art class and doing art ,it really caught my eye  it was very interesting when l knowing about it",,,,,,,,,,,Yes,Chair 4,it's very nice,,,,Very comfortable,Most of the time,Yes,Desk 1,it's very good and comfortable,,,,Desk 1,,,,,Daily,Desk 1,,,,none,,,,,,,,Yes. it's awesome,chair 3 it's fine,anything,anything,,It's fine,l would do anything,,It's a nice upgrade,uneasy,,,the nice panting,,,,none,
2025-12-17,90,Midland Freshman High School,It looks interesting,The ones that have the wheels that the tables have and how different and nice the chairs and desk look.,,,,,,,,,,,Yes,Chair 1,Cause I get more space and it looks nice I could also out my feet on the little metal thing it has.,,,,Very comfortable,Most of the time,Yes,Desk 3,I get to move it around without picking it up and the wheels help me push it also lots of space.,,,,Desk 3,,,,,Periodically (as needed),Desk 3,,,,I really don't know. I really don't care all the desk are nice and have lots of space.,,,,,,,,It's fine,I'll say wheels that can lock and unlock cause they are easier to move around and they don't do that little noise that chairs usually do when you move them around.,,,,It's fine,For me the are fine just the color to be all grey to match more.,,It's a nice upgrade,The classroom looks nicer.,,,No the chairs weren't as comfortable or nicer and the desk weren't as bigger and nicer.,,,,No,
2025-12-17,91,Midland Freshman High School,It looks interesting,the big table right in front of the tv,,,,,,,,,,,No,Chair 2,because it is comfortable for me and I have no problem with it,,,,Very comfortable,Most of the time,Yes,Desk 2,I like table 2 because I can stop it from rolling away,,,,Desk 3,,,,,Classroom layout stays the same,Desk 3,,,,no complaints,,,,,,,,Yes. it's awesome,a chair where I can leans back,,,,Yes. it's awesome,a desk with a picture on it,,It's a nice upgrade,it cool,,,nope,,,,nope,
2025-12-17,92,Midland Freshman High School,It looks interesting,Multiple small statues of bull dogs under the stairs.,,,,,,,,,,,Yes,Chair 2,Because I don't really like how the others feel and this one has some comfort on it.,,,,Somewhat comfortable,Entire class,Yes,Desk 2,Because I feel like it the perfect height and have more leg room.,,,,All of them,,,,,Periodically (as needed),Desk 3,,,,"It's a bit smaller, not to heavy, and move easily.",,,,,,,,It's fine,"Make it a little bigger, more leg room, more space to work on, and move easily.",,,,It's fine,Just make the work space a little bigger.,,No big difference,It doesn't bother my learning and its nice decorations.,,,Only the carpet all around the room because I could lay down sometimes comfortable sometimes.,,,,This is fine,
2025-12-17,93,Midland Freshman High School,"Wow, I love it!",the color of the grey desk i like how it makes the class room like,,,,,,,,,,,Yes,Chair 3,its has lots  of space which is good because i can't sit normal and it's not super hard,,,,Very comfortable,Entire class,Yes,Desk 3,it looks nice and has lots of space if me to do work,,,,All of them,,,,,Periodically (as needed),Desk 3,Desk 3,,,one is too big and  bolke i don't like the desks with the round edges as well,,,,,,,,Yes. it's awesome,i would add wheels to the chairs because they are all heavy and hard to move,,,,Yes. it's awesome,nothing,,It's a nice upgrade,it looks great and it is a nice touch to the classroom,,,nope,,,,nope,
2025-12-17,94,Midland Freshman High School,"Wow, I love it!",The chair net,"The chair net chairs, and the grey tables",,,,,,,,,,Yes,Chair 3,It has a lot of space is very comfy,,,,Very comfortable,Entire class,Yes,Desk 1,Its straight and even,,,,All of them,,,,,Classroom layout stays the same,Desk 2,Desk 1,Desk 3,Desk 3,,,,,,,,,Yes. it's awesome,Nothing everything is good,,,,Yes. it's awesome,Everything is good,,It's a nice upgrade,"I really enjoy it ,and it's very comfortable.",,,Nope,,,,Nope,
2025-12-17,95,Midland Freshman High School,It looks interesting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,96,Midland Freshman High School,It looks interesting,it was new to me cause in my old school the were worse,,,,,,,,,,,Yes,Chair 3,Because the back part of the chair bends a little back.,,,,Somewhat comfortable,Entire class,No,Desk 3,cause is not to big or not to small is the perfect size.,,,,Desk 3,,,,,Classroom layout stays the same,Desk 3,Desk 1,Desk 2,Desk 3,I really don't have any.,,,,,,,,It's fine,I would put wheels on it.,,,,It's fine,I would not add anything.,,It's a nice upgrade,I would be happy to try out new furniture.,,,not really,,,,No..,
2025-12-17,97,Midland Freshman High School,"Wow, I love it!",I like them because the chair are better then the chairs last year,,,,,,,,,,,Yes,Chair 3,because it is comfortable and quite,,,,Very comfortable,Most of the time,Yes,Desk 1,because it is smooth and easy,,,,Desk 1,All of them,,,,Periodically (as needed),Desk 1,,,,too small,,,,,,,,Yes. it's awesome,make it recline back,,,,Yes. it's awesome,nothing,,It's a nice upgrade,good and better,,,my old classmates,,,,noo,
2025-12-17,98,Lee High School,It looks interesting,the desks,,,,,,,,,,,Yes,Chair 1,The rubber top allows us to bend backwards more,,,,Very comfortable,Entire class,No,Desk 3,I feel it has a more sleek design,,,,All of them,,,,,Periodically (as needed),Desk 1,,,,,,,,,,,,It's fine,cushions,,,,It's fine,,,It's a nice upgrade,"Makes the school feel like it's evolving, rather than staying with the old ways",,,no,,,,,
2025-12-17,99,Lee High School,How is this going to work?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,100,Lee High School,"Wow, I love it!","The desks because you can write on them with markers and they will come off, perfect for math.",,,,,,,,,,,Yes,Chair 3,Most comfortable on my back,,,,Very comfortable,Entire class,Yes,Desk 1,Doesnt move too much and is writable on.,,,,All of them,,,,,Classroom layout stays the same,Desk 1,,,,none,,,,,,,,It's fine,"I dont like the holes, but the holes might make it comfortable I dont know.",,,,Could be better,I dont like the tan wooden look.,Make it a darker brown,It's a nice upgrade,Feels more open to learning.,,,No,,,,no,
2025-12-17,101,Lee High School,It looks interesting,I don't really pay attention to the furniture.,I don't pay attention to furniture.,,,,,,,,,,No,Chair 3,It's bigger.,,,,Neither comfortable nor uncomfortable,Entire class,No,Desk 1,It's big.,,,,Desk 1,,,,,Periodically (as needed),Desk 1,,,,Need to be bigger.,,,,,,,,It's fine,Cushiony. Arms.,,,,It's fine,Bigger. Way bigger.,,No big difference,I don't pay attention to it.,,,No.,,,,"Make everything home-like, comfy.",
2025-12-17,102,Lee High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,103,Lee High School,It looks interesting,the desks,the desks,,,,,,,,,,Yes,Chair 4,it is nice,,,,Very comfortable,Most of the time,Yes,Desk 2,it is nice,,,,All of them,,,,,Periodically (as needed),Desk 3,,,,,,,,,,,,Yes. it's awesome,,,,,It's fine,,,It's a nice upgrade,,,,,,,,,
2025-12-17,104,Lee High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,105,Lee High School,It looks interesting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,106,Midland Freshman High School,It looks interesting,Some of the desks are too tall or too short.the chairs either squeak to much or are wobbly.,The desks,,,,,,,,,,Yes,Chair 2,The way it os is comfortable and im able to relax more in it.,,,,Very comfortable,Most of the time,Yes,Desk 3,Its big enough to work and do projects on.,It has enough space for me to do big projects on,i love it,,Desk 3,,,,,Daily,Desk 3,,,,,,,,,,,,Yes. it's awesome,,,,,Yes. it's awesome,,,,,,,,,,,,
2025-12-17,107,Lee High School,I liked the old furniture better,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,108,Midland Freshman High School,It looks interesting,The netted chair and the small grey desk with wheels.,,,,,,,,,,,Yes,Chair 4,It is the most comfortable.,,,,Very comfortable,Entire class,Yes,Desk 3,It matches the height of most chairs and is the perfect amount of space.,,,,Desk 3,,,,,Classroom layout stays the same,Desk 3,Desk 3,,,Some are to big and to hard to move.,,,,,,,,It's fine,Nothing comes to mind. It's fine how it is.,,,,Yes. it's awesome,Nothing.,,No big difference,It's fine.,,,Not really.,,,,No.,
2025-12-17,109,Midland Freshman High School,It looks interesting,"the gray, round corners tables",,,,,,,,,,,Yes,Chair 3,it's bigger,,,,Somewhat comfortable,Most of the time,Yes,Desk 1,shorter,it can be easily place to each others,,,Desk 1,Desk 2,Desk 3,,,Weekly,Desk 1,,,,None,,,,,,,,Yes. it's awesome,nothing,,,,Yes. it's awesome,maybe like those pencil spots like a hole on the front,,It's a nice upgrade,It's fine,,,nothing,,,,no,
2025-12-17,110,Midland Freshman High School,It looks interesting,they grey tall square desk,"the christmas tree, its blue",,,,,,,,,,Yes,Chair 3,"its cumpftruble in all ways, it takes away my back pain because my back leans on it perfectly and its soft.",,,,Very comfortable,Entire class,Yes,Desk 3,its big and i life the height because you don't have to bent your back down in a uncomfortable way .,,,,Desk 3,,,,,Periodically (as needed),Desk 3,,,,Most of them are to small and tight same thing as the chairs some are too small.,,,,,,,,Yes. it's awesome,nothing the one that i like is perfect.,,,,Yes. it's awesome,nothing its perfect,,No big difference,its ok.,,,no,,,,I just wish other people think the same as me.,
2025-12-17,111,Midland Freshman High School,It looks interesting,I like the one with the four wheels because they have space and you can adjust them if your bigger or taller,I love the four wheels one because if your taller you can adjust it and there easy to move.,,,,,,,,,,Yes,Chair 3,Because it's comfy and feels good on my back.,,,,Very comfortable,Entire class,Yes,Desk 3,Because it feels good and I fit perfectly in it.,,,,All of them,,,,,Periodically (as needed),Desk 3,,,,Nothing for the most part just some might be a little to short for me.,,,,,,,,Yes. it's awesome,Maybe the hole in the back.,,,,Yes. it's awesome,may a little longer.,,It's a nice upgrade,I love it and its unique design.,,,Not really.,,,,No thank you,
2025-12-17,112,Midland Freshman High School,"Wow, I love it!","The piece of furniture that caught my attention is the desk and the chair , the chair because it feels comfortable and because of its color gray, also the desk since its big it can fit many stuff.",The color of the desk caught my attention because it looks pretty and a very neat clear color.,"Also the chair got my attention on how they are different ones and  the size of them, also they all look a very good color.",,,,,,,,,No,Chair 2,"Is my favorite chair because is really comfortable to sit on, and also has a pretty color of gray.",Is my favorite because its really comfortable and have a good light of gray.,,,Very comfortable,Entire class,Yes,Desk 1,Is my favorite because because is the most like biggest and fit more stuff onto the desk and not have it unorgannized.,,,,Desk 3,Desk 1,,,,Daily,Desk 3,Desk 1,,,The desk are the best and what I been needing since they are much stuff we had to do or project and that way we get more bigger space.,,,,,,,,Yes. it's awesome,I would redesign the color of the chair into like a black one but even tho the grey looks good and have good light of it.,,,,Yes. it's awesome,I would redesign the weeks since it kinda moves to much.,,No big difference,It was okay and better since the desk are mostly the biggest.,,,"No, there is nothing that I missed in my old classroom.",,,,My thoughts are if they are more bigger desk than the ones we have now.,
2025-12-17,113,Midland Freshman High School,It looks interesting,"I prefer the small gray tables with wheels because they're easier to move when we're working in groups, and as for the chairs, I prefer the lighter ones for the same reason, so it's more comfortable.",,,,,,,,,,,Yes,Chair 4,They are comfortable and easier to move around since they are not heavy.,,,,Very comfortable,Entire class,Yes,Desk 3,It's easy to move around for group work.,,,,Desk 3,Desk 1,,,,Weekly,Desk 3,Desk 1,Desk 3,,"My only complaint is that some are shorter than others, and some are awkward to arrange in groups and to move around.",,,,,,,,Yes. it's awesome,"I would add wheels to it, make it spacious, have everything at the same height, and make them easy to arrange in groups.",,,,Could be better,ones that would be easy to move around and that have enough workspace,,It's a nice upgrade,"Is something new for me, in any other classroom that I have class have the desk, and chairs like this.",,,No I  don't have anything that I can miss from my old classroom.,,,,A suggestions is  put the  desk on the same height for can work with the partners comfortable.,
2025-12-17,114,Midland Freshman High School,"Wow, I love it!",My desk was really big,,,,,,,,,,,No,Chair 3,I like the net back,,,,Very comfortable,Most of the time,No,Desk 1,It's big and can have all of my things without taking up all of the space,,,,Desk 1,,,,,Periodically (as needed),Desk 1,,,,It move a lot,,,,,,,,It's fine,Change the color,,,,Yes. it's awesome,Have better locked wheels,,It's a nice upgrade,It's nice and clean,,,No I think this is a upgrade,I miss the wooden desks,,,No,
2025-12-17,115,Midland Freshman High School,"Wow, I love it!",,,,,,,,,,,,Yes,Chair 1,It has the foot thing on the bottom so I could put my feet there.,It's comfortable to sit in.,,,Very comfortable,Entire class,Yes,Desk 1,It's the perfect size to do projects with big posters and lots of space to work.,,,,Desk 1,,,,,Periodically (as needed),Desk 1,,,,Nothing at all. I don't like the tables that the chair is attached to the table.,,,,,,,,Yes. it's awesome,I would keep it the same.,,,,Yes. it's awesome,The desk is perfect and a perfect size.,,No big difference,I like it and I like how there all different.,,,Nope.,,,,N/A,
2025-12-17,116,Midland Freshman High School,How is this going to work?,The blue christmas tree caught my eye.,,,,,,,,,,,Yes,Chair 1,Because it has a desk,,,,Somewhat comfortable,Most of the time,Yes,Desk 3,because I like the color of black,,,,All of them,,,,,Periodically (as needed),Desk 3,,,,nothing,,,,,,,,It's fine,turn it into a color black,,,,Yes. it's awesome,nothing,,It's a nice upgrade,feel the same,,,nothing,,,,nothing,
2025-12-17,117,Midland Freshman High School,"Wow, I love it!",I like the small desks they fit perfect in the classroom,,,,,,,,,,,Yes,Chair 2,its really comfy and it fits good with the small desks,,,,Very comfortable,Entire class,Yes,Desk 1,because it is.....,,,,Desk 1,,,,,Classroom layout stays the same,Desk 1,,,,I don't have any complaints,,,,,,,,Yes. it's awesome,I would make it pink,,,,Yes. it's awesome,I would add stickers and make all the desks pink,,It's a nice upgrade,I like it cs it looks clean and they are white,,,the work,,,,no,
2025-12-17,118,Midland Freshman High School,How is this going to work?,the light covers,,,,,,,,,,,No,Chair 3,cause is the only one I seated there,,,,Somewhat comfortable,Entire class,No,Desk 2,cause it moves,,,,All of them,,,,,Periodically (as needed),Desk 3,Desk 1,,,they're to big,,,,,,,,It's fine,add a cushion,,,,It's fine,nothig,,No big difference,is been good,normal,,no,,,,no,
2025-12-17,119,Midland Freshman High School,It looks interesting,I like the ones that go up and down,,,,,,,,,,,No,Chair 1,its soft not hard,,,,Somewhat comfortable,Most of the time,No,Desk 2,the one that goes up and down,,,,All of them,,,,,Weekly,Desk 2,,,,there not big enough,,,,,,,,Yes. it's awesome,a chair,,,,,,,,,,,,,,,,
2025-12-17,120,Midland Freshman High School,It looks interesting,The piece of furniture that caught my eye first was the big grey desk.,,,,,,,,,,,No,Chair 4,Because it's comfy and it doesn't hurt my bottom.,,,,Somewhat comfortable,Entire class,No,Desk 2,Because it has the perfect amount of room for me to put my stuff.,,,,Desk 1,Desk 3,,,,Periodically (as needed),Desk 3,,,,"They move to much,",,,,,,,,It's fine,"No, I wouldn't change anything.",,,,It's fine,No I don't wanna change anything,,No big difference,I like it,,,No,,,,No,
2025-12-17,121,Midland Freshman High School,It looks interesting,My wooden table and this comfy chair,,,,,,,,,,,Yes,Chair 2,Its comfy,,,,Very comfortable,Entire class,Yes,Desk 1,It's the wooden one. I kinda like it,,,,Desk 1,,,,,Periodically (as needed),Desk 3,,,,They're always wobbly and not enough space for multiple items.,,,,,,,,Yes. it's awesome,Nothing,,,,Yes. it's awesome,Nothing,,It's a nice upgrade,It's good,,,Nothing,,,,No,
2025-12-17,122,Midland Freshman High School,It looks interesting,all of it,,,,,,,,,,,Yes,Chair 2,because it doesn't hurt my back,,,,Somewhat comfortable,Most of the time,Yes,Desk 3,I don't know,,,,Desk 3,,,,,Classroom layout stays the same,Desk 3,,,,hard,,,,,,,,It's fine,add cooshen,,,,It's fine,add lay down spot,,No big difference,good,,,no,,,,no,
2025-12-17,123,Midland Freshman High School,It looks interesting,All the chairs are very good.,none,None caught my eye,,,,,,,,,Yes,Chair 3,Because it's very comfortable.,,,,Very comfortable,Entire class,Yes,Desk 2,idk,,,,Desk 1,Desk 2,Desk 3,,,Classroom layout stays the same,Desk 2,Desk 1,Desk 3,,,,,,,,,,Yes. it's awesome,idk,,,,It's fine,,,No big difference,,,,,,,,,
2025-12-17,124,Midland Freshman High School,It looks interesting,the random seat connected with a chair and the desk in science,lots,,,,,,,,,,Yes,Chair 3,big comfy and nice,,,,Somewhat comfortable,Most of the time,Yes,Desk 2,its very spacies,,,,Desk 3,,,,,Daily,Desk 3,,,,nothing really,,,,,,,,It's fine,I don't know,,,,Yes. it's awesome,nothing really,,No big difference,good,,,nothing really,,,,nope,
2025-12-17,125,Midland Freshman High School,It looks interesting,the chairs,,,,,,,,,,,No,Chair 1,because i can rest my feet,,,,Very comfortable,Entire class,No,Desk 1,because its bigger and i have more space,,,,All of them,,,,,Weekly,Desk 3,,,,i dont have any,,,,,,,,It's fine,idk,,,,It's fine,idk,,It's a nice upgrade,i like it,,,no,,,,no,
2025-12-17,126,Midland Freshman High School,It looks interesting,that we finally have comfortable at school,,,,,,,,,,,No,Chair 4,because its big,,,,Somewhat comfortable,Most of the time,No,Desk 2,because its big and i have a lot of space,,,,Desk 2,,,,,Weekly,Desk 2,,,,that i have no space,,,,,,,,It's fine,nothing,,,,It's fine,nothing,,It's a nice upgrade,good,good,,no,,,,no,
2025-12-17,127,Midland Freshman High School,It looks interesting,i've been in the same desk all year so I couldn't tell you,the big chair,the big chair,,,,,,,,,No,Chair 4,because its comfortable,,,,Very comfortable,Entire class,No,Desk 3,because it just fit all of my thing good,,,,Desk 3,,,,,Classroom layout stays the same,Desk 3,,,,they sometimes move when your trying to work,,,,,,,,Yes. it's awesome,i would make it a rolling chair,,,,It's fine,i would probably make it bigger but the design is great,,It's a nice upgrade,its great i would just love to sit in all the chairs,its good,,no,,,,no!,
2025-12-17,128,Midland Freshman High School,It looks interesting,the chairs some were different from others,,,,,,,,,,,No,Chair 4,its comfortable and lets me move alot,,,,Somewhat comfortable,Entire class,No,Desk 3,its little but Long enough to fit a poster paper and a chromebook,,,,Desk 3,Desk 1,,,,Weekly,Desk 1,Desk 3,,,some are too tall or long,,,,,,,,It's fine,maybe focus on the legs so they can move easily,,,,It's fine,,,,,,,,,,,,
2025-12-17,129,Midland Freshman High School,It looks interesting,is very comfortable and nice,,,,,,,,,,,Yes,Chair 3,because is very comfortable,,,,Very comfortable,Entire class,Yes,Desk 1,because is very comfortable,,,,Desk 1,,,,,Periodically (as needed),Desk 1,,,,nothing,,,,,,,,Yes. it's awesome,number 4,,,,It's fine,nothing,,No big difference,that is good,,,nothing,,,,no,
2025-12-17,130,Midland Freshman High School,It looks interesting,the big desk,,,,,,,,,,,Yes,Chair 4,Because It is short enough for me to pop my back on,ehh it's not really that comfy but none of them really are,,,Somewhat comfortable,Most of the time,No,Desk 1,because it allows me to have a lot of space,,,,Desk 1,Desk 3,,,,Weekly,Desk 3,,,,,,,,,,,,Not my style,,,,,It's fine,,,No big difference,,,,yes how there were big confortable chairs and couches,,,,,
2025-12-17,131,Midland Freshman High School,It looks interesting,my bed because when I saw it I knew it was the one.,my bed because when I saw my bed I knew it was the one,,,,,,,,,,No,Chair 1,because it is just right its not hard to move confurble.,,,,Very comfortable,Most of the time,No,Desk 1,because it not too big.,,,,Desk 2,Desk 3,Desk 1,,,Periodically (as needed),Desk 3,,,,I don't have any,,,,,,,,Yes. it's awesome,I don't know,,,,Not my style,,,,,,,,,,,,
2025-12-17,132,Midland Freshman High School,"Wow, I love it!",Mainly the tables since they were completely different than the average classroom desk,,,,,,,,,,,No,Chair 3,It gives some nice support to my back when I sit more into it,,,,Very comfortable,Entire class,No,Desk 2,It has a lot of space and it feels like I can have a lot of things on it without it feeling cramped,,,,Desk 2,Desk 3,,,,Classroom layout stays the same,Desk 2,,,,"I don't really have any, I think they're good",,,,,,,,Could be better,I guess maybe the gap in it,,,,Yes. it's awesome,I wouldn't redesign anything,,It's a nice upgrade,I like it,,,Not really since my first day of school had this furniture already,,,,Not really,
2025-12-17,133,Midland Freshman High School,"Wow, I love it!",I don't know,,,,,,,,,,,Yes,Chair 3,its comfortable,,,,Very comfortable,Entire class,Yes,Desk 3,its tall,,,,Desk 3,,,,,Classroom layout stays the same,Desk 3,,,,they keep rolling,,,,,,,,Yes. it's awesome,nothing,a pillow,,,Yes. it's awesome,put the stopper things to stop the desk from moving,,It's a nice upgrade,I don't know,,,no,,,,no,
2025-12-17,134,Midland Freshman High School,It looks interesting,the regular tabe and chair,,,,,,,,,,,No,Chair 3,because its a chair and I'm fine with what ever is available,,,,Somewhat comfortable,1/2 of the class,No,Desk 3,because its comfortable,,,,Desk 2,,,,,Periodically (as needed),Desk 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,135,Midland Freshman High School,It looks interesting,the Christmas tree,the blue Christmas tree,the blue Christmas tree next to the teachers desk in the front of the class room and the lab tables in the back of the class room and the tables and the chairs and the sink in the table in the lab,,,,,,,,,No,Chair 1,it has a desk,,,,Somewhat comfortable,1/2 of the class,No,Desk 1,I just like it,,,,Desk 3,Desk 1,,,,Periodically (as needed),Desk 2,,,,I have none,,,,,,,,Could be better,ad pads atleast,,,,Could be better,idk,,No big difference,I don't know,,,nope,,,,nope,
2025-12-17,136,Midland Freshman High School,"Wow, I love it!",The cafetourium furniture,The large gym furniture,,,,,,,,,,Yes,Chair 3,my favorite chair is the one that has wheels on it,,,,Neither comfortable nor uncomfortable,Most of the time,Yes,Desk 1,The desk with wheels on it,Because its comfartable and because it has wheels on it,,,All of them,,,,,Periodically (as needed),Desk 3,Desk 1,,,When they are mistreated,,,,,,,,Yes. it's awesome,I would like a gaming chair,,,,It's fine,a gaming desk,,No big difference,,,,,,,,,
2025-12-17,137,Midland Freshman High School,It looks interesting,the desk are alright except when the're off balance and wable,I don't know,,,,,,,,,,No,Chair 3,it's comfortable,,,,Somewhat comfortable,Most of the time,Yes,Desk 1,I don't know,,,,Desk 1,,,,,Periodically (as needed),Desk 1,,,,some are too wably,,,,,,,,It's fine,I don't know,,,,It's fine,I don't know1,,,,,,,,,,,
2025-12-17,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,also focusing on the legs but making sure the table doesn't move but that when it has to be moved it  can move with ease,,It's a nice upgrade,they're nice and some are comfortable,,,no,,,,no,
